key,id,summary,status,issuetype,creator_name,assignee_name,created,updated,project_name,project_id,priority_name,priority_id,project_due_date,issue_url,today,days_old,year_updated,month_updated,year_created,month_created,last_updated_days,project_due_date_days,velocity,velocity_hours,velocity_days,target_end_date,bussiness_lead,planning_rank,portfolio_rank
DEVOPS-7470,163813,[Nonprod] (Audio Licensing Catalog) GCP to Castfire DB Access,Done,Story,Adam Shero,Adam Shero,2025-04-21 14:06:31.641000-06:00,2025-05-08 11:27:17.391000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7470,2025-05-23 07:53:04.725410-06:00,31,2025,5,2025,4,14,-9260,16,405.3460416666667,16,,eric duell,,
DEVOPS-7531,164291,[Nonprod] (Audio Licensing Catalog) Grant Access to BigQuery,Done,Story,Adam Shero,Adam Shero,2025-04-30 12:11:04.872000-06:00,2025-05-08 11:19:14.176000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7531,2025-05-23 07:53:04.734649-06:00,22,2025,5,2025,4,14,-9260,7,191.1359177777778,7,,eric duell,,
DEVOPS-7580,164610,[PROD] Amperwave Rocksteady,Done,Story,Adam Shero,Adam Shero,2025-05-06 10:20:06.130000-06:00,2025-05-08 10:48:18.907000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7580,2025-05-23 07:53:04.744204-06:00,16,2025,5,2025,5,14,-9260,2,48.470215833333334,2,,Josh Currier,,
DEVOPS-7142,160847,[STG] Amperwave Rocksteady,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:34:49.479000-06:00,2025-05-06 10:21:06.389000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7142,2025-05-23 07:53:04.753883-06:00,72,2025,5,2025,3,16,-9258,55,1338.771363888889,55,,Josh Currier,,
DEVOPS-6596,157049,Upgrade all HelmRelease using A2 chart to helm chart a2 version 2.3.0 in amperwave-prod eks cluster,Done,Task,David Caballero,Adam Shero,2024-11-13 10:40:31.143000-07:00,2025-04-28 15:58:11.371000-06:00,DevOps,13769,Low,4,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6596,2025-05-23 07:53:04.763098-06:00,190,2025,4,2024,11,24,-9250,166,3988.2945077777777,166,,Jorge Rodriguez,,
DEVOPS-7391,163099,[DEV] Add Secrets for Rocksteady Service,Done,Story,Adam Shero,Adam Shero,2025-04-08 10:59:14.641000-06:00,2025-04-24 09:48:35.107000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7391,2025-05-23 07:53:04.772319-06:00,44,2025,4,2025,4,28,-9246,15,382.8223516666667,15,,Josh Currier,,
DEVOPS-7419,163497,[Prod] Setup GenAI GitLab Project,Done,Story,Juan Reyes,Adam Shero,2025-04-14 09:17:17.657000-06:00,2025-04-24 09:48:27.273000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7419,2025-05-23 07:53:04.781896-06:00,38,2025,4,2025,4,28,-9246,10,240.5193377777778,10,,Jorge Rodriguez,,
DEVOPS-7418,163494,[Prod] Setup Artifact registries,Done,Story,Juan Reyes,Adam Shero,2025-04-14 09:07:25.368000-06:00,2025-04-24 09:48:18.659000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7418,2025-05-23 07:53:04.791767-06:00,38,2025,4,2025,4,28,-9246,10,240.6814697222222,10,,Jorge Rodriguez,,
DEVOPS-6595,157048,Upgrade all HelmRelease using A2 chart to helm chart a2 version 2.3.0 in amperwave-nonprod eks cluster,Done,Task,David Caballero,Adam Shero,2024-11-13 10:40:26.552000-07:00,2025-04-03 14:41:21.212000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6595,2025-05-23 07:53:04.801251-06:00,190,2025,4,2024,11,49,-9225,141,3387.0151833333334,141,,Jorge Rodriguez,,
DEVOPS-4847,143418,ARC Release Pipeline,Will Not Do,Story,Adam Shero,Adam Shero,2023-11-02 12:58:10.354000-06:00,2025-03-31 09:43:25.113000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-4847,2025-05-23 07:53:04.810334-06:00,567,2025,3,2023,11,52,-9222,514,12356.754099722224,514,,Unknown,,
DEVOPS-5746,150336,Create Gitlab runner for aardvark prod,Done,Story,Erin Fink,Adam Shero,2024-05-13 08:18:17.517000-06:00,2025-03-28 11:03:00.954000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-5746,2025-05-23 07:53:04.819722-06:00,374,2025,3,2024,5,55,-9219,319,7658.745399166666,319,,Unknown,,
DEVOPS-5974,152204,Drop Ascend.io,Done,Story,Terry Dougal,Adam Shero,2024-07-11 12:20:06.590000-06:00,2025-03-28 07:54:32.094000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-5974,2025-05-23 07:53:04.828666-06:00,315,2025,3,2024,7,55,-9219,259,6235.573751111111,259,,Unknown,,
DEVOPS-4949,144349,[Prod] Task Runner - Add New Environment Vars (billingUpdater),Will Not Do,Story,Adam Shero,Adam Shero,2023-11-30 13:24:45.860000-07:00,2025-03-28 07:53:46.298000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-4949,2025-05-23 07:53:04.837850-06:00,539,2025,3,2023,11,55,-9219,483,11609.483455,483,,Unknown,,
DEVOPS-7264,161616,[Nonprod] Rightsize Memcached Instances,Done,Story,Adam Shero,Adam Shero,2025-03-24 15:32:08.627000-06:00,2025-03-27 07:48:21.120000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7264,2025-05-23 07:53:04.847227-06:00,59,2025,3,2025,3,57,-9218,2,64.27013694444445,2,,Unknown,,
DEVOPS-7203,161227,[Nonprod] Bifrost Elasticache Migration,Done,Story,Adam Shero,Adam Shero,2025-03-18 09:41:36.839000-06:00,2025-03-24 15:31:41.922000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7203,2025-05-23 07:53:04.856359-06:00,65,2025,3,2025,3,59,-9215,6,149.83474527777778,6,,Unknown,,
DEVOPS-7176,161025,[Nonprod] User Sync Elasticache Migration,Done,Story,Adam Shero,Adam Shero,2025-03-13 19:01:42.998000-06:00,2025-03-24 15:31:39.900000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7176,2025-05-23 07:53:04.866192-06:00,70,2025,3,2025,3,59,-9215,10,260.49913944444444,10,,Unknown,,
DEVOPS-7172,161021,[Nonprod] Geoservice Elasticache Migration,Done,Story,Adam Shero,Adam Shero,2025-03-13 18:57:50.423000-06:00,2025-03-24 15:31:37.038000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7172,2025-05-23 07:53:04.875780-06:00,70,2025,3,2025,3,59,-9215,10,260.5629486111111,10,,Unknown,,
DEVOPS-7202,161226,[SPIKE] Investigate Viability of AWS Service Catalog,Will Not Do,Story,Adam Shero,Adam Shero,2025-03-18 09:14:59.266000-06:00,2025-03-21 09:38:10.017000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7202,2025-05-23 07:53:04.885366-06:00,65,2025,3,2025,3,62,-9212,3,72.38631972222223,3,,Unknown,,
DEVOPS-7201,161224,[Prod] Amperwave Identity Over-Logging,Done,Story,Adam Shero,Adam Shero,2025-03-18 08:58:01.255000-06:00,2025-03-19 08:19:39.786000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7201,2025-05-23 07:53:04.894202-06:00,65,2025,3,2025,3,64,-9210,0,23.360703055555557,0,,Unknown,,
DEVOPS-7175,161024,[Nonprod] Podcast ETL Elasticache Migration,Will Not Do,Story,Adam Shero,Adam Shero,2025-03-13 19:01:28.680000-06:00,2025-03-18 14:00:19.304000-06:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7175,2025-05-23 07:53:04.903416-06:00,70,2025,3,2025,3,65,-9209,4,114.98072888888889,4,,Unknown,,
DEVOPS-7190,161067,[DEV] Amperwave Rocksteady Secrets,Done,Story,Adam Shero,Adam Shero,2025-03-14 13:28:05.365000-06:00,2025-03-18 09:11:59.785000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7190,2025-05-23 07:53:04.912800-06:00,69,2025,3,2025,3,65,-9209,3,91.73178333333333,3,,Unknown,,
DEVOPS-7191,161068,[QA] Amperwave Rocksteady Secrets,Done,Story,Adam Shero,Adam Shero,2025-03-14 13:29:27.909000-06:00,2025-03-18 09:11:35.375000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7191,2025-05-23 07:53:04.921935-06:00,69,2025,3,2025,3,65,-9209,3,91.70207388888889,3,,Unknown,,
DEVOPS-6772,158142,[DEV] Amperwave Rocksteady,Done,Story,Bryan Harris,Adam Shero,2024-12-18 14:51:06.899000-07:00,2025-03-18 09:11:35.170000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6772,2025-05-23 07:53:04.931578-06:00,155,2025,3,2024,12,65,-9209,89,2153.3411863888887,89,,Unknown,,
DEVOPS-7141,160845,[QA] Amperwave Rocksteady,Done,Story,Adam Shero,Adam Shero,2025-03-11 14:49:39.341000-06:00,2025-03-13 19:08:05.355000-06:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7141,2025-05-23 07:53:04.941099-06:00,72,2025,3,2025,3,70,-9205,2,52.30722611111111,2,,Unknown,,
DEVOPS-7148,160854,(Ascend.io) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:53:23.377000-06:00,2025-03-12 07:52:13.710000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7148,2025-05-23 07:53:04.950732-06:00,72,2025,3,2025,3,72,-9203,0,15.980648055555555,0,,Unknown,,
DEVOPS-7146,160852,(cobraprod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:51:56.194000-06:00,2025-03-12 07:52:13.684000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7146,2025-05-23 07:53:04.960205-06:00,72,2025,3,2025,3,72,-9203,0,16.00485833333333,0,,Unknown,,
DEVOPS-7147,160853,(audit) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:53:04.266000-06:00,2025-03-12 07:52:01.391000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7147,2025-05-23 07:53:04.970054-06:00,72,2025,3,2025,3,72,-9203,0,15.982534722222223,0,,Unknown,,
DEVOPS-7145,160851,(cobradev) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:47:32.061000-06:00,2025-03-12 07:51:40.038000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7145,2025-05-23 07:53:04.979520-06:00,72,2025,3,2025,3,72,-9203,0,16.0688825,0,,Unknown,,
DEVOPS-7144,160850,(CFCT_NetworkDemo_Prod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:47:08.815000-06:00,2025-03-12 07:51:37.815000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7144,2025-05-23 07:53:04.988903-06:00,72,2025,3,2025,3,72,-9203,0,16.07472222222222,0,,Unknown,,
DEVOPS-7143,160848,(CFCT_NetworkDemo_Nonprod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-11 15:45:30.035000-06:00,2025-03-12 07:51:33.942000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7143,2025-05-23 07:53:04.998493-06:00,72,2025,3,2025,3,72,-9203,0,16.101085277777777,0,,Unknown,,
DEVOPS-7126,160722,(UPMS-Nonprod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-07 12:12:20.003000-07:00,2025-03-11 15:52:28.988000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7126,2025-05-23 07:53:05.007955-06:00,76,2025,3,2025,3,72,-9202,4,98.6691625,4,,Unknown,,
DEVOPS-7129,160725,(Metadata-Dev) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-07 12:16:46.486000-07:00,2025-03-11 12:31:04.913000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7129,2025-05-23 07:53:05.017344-06:00,76,2025,3,2025,3,72,-9202,3,95.23845194444445,3,,Unknown,,
DEVOPS-7128,160724,(Cobra-Prod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-07 12:13:48.780000-07:00,2025-03-11 12:31:01.189000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7128,2025-05-23 07:53:05.026855-06:00,76,2025,3,2025,3,72,-9202,3,95.28678027777778,3,,Unknown,,
DEVOPS-7127,160723,(Cobra-Nonprod) AWS Account Deletion,Done,Story,Adam Shero,Adam Shero,2025-03-07 12:13:29.648000-07:00,2025-03-11 12:30:59.360000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7127,2025-05-23 07:53:05.036135-06:00,76,2025,3,2025,3,72,-9202,3,95.29158666666666,3,,Unknown,,
DEVOPS-6999,159955,(CBS Legacy) EC2 Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-19 13:01:34.044000-07:00,2025-03-10 09:08:57.376000-06:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6999,2025-05-23 07:53:05.045357-06:00,92,2025,3,2025,2,73,-9201,18,451.1231477777778,18,,Unknown,,
DEVOPS-7037,160040,(CBS Legacy) VPC Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-21 14:15:55.969000-07:00,2025-03-03 09:06:08.932000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7037,2025-05-23 07:53:05.054540-06:00,90,2025,3,2025,2,80,-9194,9,234.83693416666665,9,,Unknown,,
DEVOPS-7024,160002,(CBS Legacy) Opensearch Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-20 10:14:36.729000-07:00,2025-03-03 09:06:01.547000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7024,2025-05-23 07:53:05.063719-06:00,91,2025,3,2025,2,80,-9194,10,262.85689388888886,10,,Unknown,,
DEVOPS-6878,159299,(CBS Legacy) Frequency/Drupal Decommission [NONPROD] ,Done,Story,Adam Shero,Adam Shero,2025-01-28 09:24:15.786000-07:00,2025-03-03 09:05:50.474000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6878,2025-05-23 07:53:05.073210-06:00,114,2025,3,2025,1,80,-9194,33,815.6929688888889,33,,Unknown,,
DEVOPS-6879,159301,(CBS Legacy) Frequency/Drupal Decommission [PROD] ,Done,Story,Adam Shero,Adam Shero,2025-01-28 09:50:01.762000-07:00,2025-03-03 09:05:46.571000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6879,2025-05-23 07:53:05.082511-06:00,114,2025,3,2025,1,80,-9194,33,815.2624469444444,33,,Unknown,,
DEVOPS-7061,160152,We need our EC2 instance started ,Done,Task,Brian Miner,Adam Shero,2025-02-25 12:31:03.512000-07:00,2025-02-26 17:43:21.913000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7061,2025-05-23 07:53:05.093008-06:00,86,2025,2,2025,2,85,-9190,1,29.205111388888888,1,,Unknown,,
DEVOPS-6998,159951,(CBS Legacy) Elasticache Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-19 12:12:18.238000-07:00,2025-02-25 10:13:48.215000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6998,2025-05-23 07:53:05.102364-06:00,92,2025,2,2025,2,86,-9188,5,142.0249936111111,5,,Unknown,,
DEVOPS-6951,159769,(CBS Legacy) S3 Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-12 09:15:18.920000-07:00,2025-02-25 08:39:02.228000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6951,2025-05-23 07:53:05.112088-06:00,99,2025,2,2025,2,86,-9188,12,311.3953633333333,12,,Unknown,,
DEVOPS-7029,160012,(CBS Legacy) Unused Load Balancers,Done,Story,Adam Shero,Adam Shero,2025-02-20 12:37:14.800000-07:00,2025-02-24 09:05:31.216000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7029,2025-05-23 07:53:05.120980-06:00,91,2025,2,2025,2,87,-9187,3,92.47122666666668,3,,Unknown,,
DEVOPS-7031,160019,(CBS Legacy) ElasticBeanstalk Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-20 15:43:24.837000-07:00,2025-02-24 09:05:18.288000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7031,2025-05-23 07:53:05.130308-06:00,91,2025,2,2025,2,87,-9187,3,89.3648475,3,,Unknown,,
DEVOPS-7027,160007,(CBS Legacy) Resize Graph Service,Done,Story,Adam Shero,Adam Shero,2025-02-20 10:43:55.494000-07:00,2025-02-20 14:06:42.596000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7027,2025-05-23 07:53:05.139806-06:00,91,2025,2,2025,2,91,-9183,0,3.379750555555556,0,,Unknown,,
DEVOPS-6992,159941,(CBS Legacy) Audio Ad Service Decommission [NONPROD],Done,Story,Adam Shero,Adam Shero,2025-02-19 10:30:39.739000-07:00,2025-02-20 10:59:07.443000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6992,2025-05-23 07:53:05.148853-06:00,92,2025,2,2025,2,91,-9183,1,24.474362222222222,1,,Unknown,,
DEVOPS-6993,159942,(CBS Legacy) Audio Ad Service Decommission [PROD],Done,Story,Adam Shero,Adam Shero,2025-02-19 10:31:00.244000-07:00,2025-02-20 10:58:55.356000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6993,2025-05-23 07:53:05.158235-06:00,92,2025,2,2025,2,91,-9183,1,24.465308888888888,1,,Unknown,,
DEVOPS-7022,160001,Deactivate Exclusive Stations API tests pipeline,Done,Task,Automation for Jira,Adam Shero,2025-02-20 10:10:26.455000-07:00,2025-02-20 10:58:03.183000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7022,2025-05-23 07:53:05.167533-06:00,91,2025,2,2025,2,91,-9183,0,0.7935355555555555,0,,Unknown,,
DEVOPS-7023,160000,Deactivate Exclusive Stations API tests pipeline,Done,Task,Jared Hanks,Adam Shero,2025-02-20 10:10:23.774000-07:00,2025-02-20 10:18:31.586000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-7023,2025-05-23 07:53:05.177095-06:00,91,2025,2,2025,2,91,-9183,0,0.13550333333333334,0,,Unknown,,
DEVOPS-6955,159784,(CBS Legacy) CloudWatch Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-12 13:15:18.972000-07:00,2025-02-20 09:11:19.998000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6955,2025-05-23 07:53:05.186116-06:00,99,2025,2,2025,2,91,-9183,7,187.93361833333333,7,,Unknown,,
DEVOPS-6956,159790,(CBS Legacy) RedShift Costs Management,Done,Story,Adam Shero,Adam Shero,2025-02-12 14:02:28.615000-07:00,2025-02-19 12:58:12.224000-07:00,DevOps,13769,High,2,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6956,2025-05-23 07:53:05.195513-06:00,99,2025,2,2025,2,92,-9182,6,166.9287802777778,6,,Unknown,,
DEVOPS-6875,159276,Possibly Urgent: Need Redis Cache for GeoService,Done,Story,Jason Cox,Adam Shero,2025-01-27 13:25:30.013000-07:00,2025-02-10 07:41:53.923000-07:00,DevOps,13769,None,10004,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6875,2025-05-23 07:53:05.205076-06:00,115,2025,2,2025,1,101,-9173,13,330.2733083333333,13,,Unknown,,
DEVOPS-6389,155609,[FINOPS] AWS Cost Optimization,Done,Legend,Adam Shero,Adam Shero,2024-10-03 08:50:54.357000-06:00,2025-02-10 07:41:36.629000-07:00,DevOps,13769,Medium,3,1999-12-31 18:00:00-06:00,https://entercomdigitalservices.atlassian.net/browse/DEVOPS-6389,2025-05-23 07:53:05.214067-06:00,231,2025,2,2024,10,101,-9173,129,3119.8450755555555,129,,Unknown,,
